Play,QB,SG/UC,Att,Comp,Dir,AirYds,Tyds,Press,Pock,Scram?,Acc,Int,TD,DPInt,TA,BP,Fum,Sk,Ht,Hur,Note
63,, ,,, ,,,,,,,,,,,,,,,,
63,, ,,, ,,,,,,,,,,,,,,,,
63,, ,,, ,,,,,,,,,,,,,,,,
64,, ,,, ,,,,,,,,,,,,,,,,
65,, ,,, ,,,,,,,,,,,,,,,,
66,, ,,, ,,,,,,,,,,,,,,,,
67,, ,,, ,,,,,,,,,,,,,,,,
68,, ,,, ,,,,,,,,,,,,,,,,
69,Blake Sims 6,UC,,,Left,,,,,,,,,,,,,,,,
69,, ,,, ,,,,,,,,,,,,,,,,
70,Blake Sims 6,SG,,,Right,,,,,,,,,,,,,,,,
71,Blake Sims 6,SG,,,Right,,,,,,,,,,,,,,,,
71,, ,,, ,,,,,,,,,,,,,,,,
72,Cardale Jones 12,SG,,,Left,,,,,,,,,,,,,,,,
72,, ,,, ,,,,,,,,,,,,,,,,
73,Cardale Jones 12,SG,,,Mid,,,,,,,,,,,,,,,,
73,, ,,, ,,,,,,,,,,,,,,,,
74,Cardale Jones 12,SG,,,Mid,,,,,,,,,,,,,,,,
75,Cardale Jones 12,SG,,, ,,,,,,,,,,,,,,,,
75,, ,,, ,,,,,,,,,,,,,,,,
75,, ,,, ,,,,,,,,,,,,,,,,
75,, ,,, ,,,,,,,,,,,,,,,,
76,Cardale Jones 12,SG,,, ,,,,,,,,,,,,,,,,
77,Evan Spencer 6,SG,,,Left,,,,,,,,,,,,,,,,
78,Cardale Jones 12,SG,,,Mid,,,,,,,,,,,,,,,,
79,Cardale Jones 12,SG,,,Left,,,,,,,,,,,,,,,,
79,, ,,, ,,,,,,,,,,,,,,,,
80,, ,,, ,,,,,,,,,,,,,,,,
81,Cardale Jones 12,SG,,,Left,,,,,,,,,,,,,,,,
82,, ,,, ,,,,,,,,,,,,,,,,
83,Cardale Jones 12,SG,,,Right,,,,,,,,,,,,,,,,
83,, ,,, ,,,,,,,,,,,,,,,,
83,, ,,, ,,,,,,,,,,,,,,,,
84,Blake Sims 6,UC,,, ,,,,,,,,,,,,,,,,
84,, ,,, ,,,,,,,,,,,,,,,,
84,, ,,, ,,,,,,,,,,,,,,,,
