19	Reggie Ragland Madison, AL	ILB	Senior	6-2	254
56	Tim Williams Baton Rouge, LA	OLB	Junior	6-3	242
28	Anthony Averett Woodbury, NJ	CB	Junior	6-0	180
31	Jerrod Bierbower Dublin, OH	S	Senior	6-1	198
2	Tony Brown Beaumont, TX	CB	Sophomore	6-0	195
5	Ronnie Clark Calera, AL	S	Sophomore	6-2	228
26	Landon Collins Geismar, LA	S	Junior	6-0	228
12	Jonathan Cook Spanish Fort, AL	CB	Junior	6-0	197
41	Daniel Geddes Northport, AL	CB	Graduated	5-6	170
48	Bo Grant Valley, AL	S	Junior	6-2	195
37	Zach Houston Daphne, AL	CB	Junior	6-1	183
26	Marlon Humphrey Birmingham, AL	CB	Sophomore	6-1	192
4	Eddie Jackson Fort Lauderdale, FL	CB	Junior	6-0	194
6	Laurence Jones Monroe, LA	S	Sophomore	6-2	219
38	Y'Latio Jones Pinson, AL	CB	Junior	5-9	170
5	Cyrus Jones Baltimore, MD	CB	Senior	5-10	196
27	Nick Perry Prattville, AL	S	Senior	6-1	211
24	Geno Smith Atlanta, GA	CB	Senior	6-0	197
21	Maurice Smith Sugar Land, TX	CB	Junior	6-0	195
22	Nate Staskelunas Kinston, NC	S	Junior	6-3	206
3	Bradley Sylve Port Sulphur, LA	CB	Senior	5-11	180
44	Levi Wallace Tucson, AZ	CB	Sophomore	6-1	172
23	Jabriel Washington Jackson, TN	CB	Senior	5-11	183
20	Jarrick Williams Eight Mile, AL	S	Senior	6-1	215
99	Adam Griffith Calhoun, GA	K	Junior	5-10	192
58	Alex Harrelson Birmingham, AL	LS	Senior	6-0	234
55	Cole Mazza Bakersfield, CA	LS	Junior	6-2	240
97	John Pizzitola Birmingham, AL	K	Sophomore	5-11	175
96	Gunnar Raborn Lafayette, LA	K	Sophomore	5-10	185
15	JK Scott Denver, CO	K	Sophomore	6-4	185
