conference_name,team_name,logo_url,roster_url
Big 10,Northwestern,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_NW.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=northwestern&id=91464
Big 10,Ohio State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_OHST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=ohio-state&id=91533
Big 10,Penn State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_PAST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=penn-state&id=91671
Big 10,Purdue,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_PUR.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=purdue&id=91717
Big 10,Rutgers,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_RUT.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=rutgers&id=91763
Big 10,Wisconsin,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_WI.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=wisconsin&id=92545
Big 12,Baylor,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_BAY.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=baylor&id=90107
Big 12,Iowa State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_IAST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=iowa-state&id=90774
Big 12,Kansas,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_KS.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=kansas&id=90797
Big 12,Kansas State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_KSS.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=kansas-state&id=90820
Big 12,Oklahoma,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_OK.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=oklahoma&id=91556
Big 12,Oklahoma State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_OKST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=oklahoma-state&id=91579
Big 12,TCU,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_TCU.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=tcu&id=91947
Big 12,Texas,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_TX.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=texas&id=92016
Big 12,Texas Tech,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_TXT.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=texas-tech&id=92062
Big 12,West Virginia,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_WV.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=west-virginia&id=92499
Conference USA,Charlotte,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_CHAR.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=charlotte&id=92936
Conference USA,Florida Atlantic,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_FLA.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=florida-atlantic&id=90521
Conference USA,Florida International,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_FIU.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=florida-international&id=90475
Conference USA,Louisiana Tech,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_LAT.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=louisiana-tech&id=90889
Conference USA,Marshall,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_MAR.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=marshall&id=91004
Conference USA,Middle Tennessee,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_MIDTEN.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=middle-tennessee&id=91165
Conference USA,North Texas,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_NTX.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=north-texas&id=92660
Conference USA,Old Dominion,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_OD.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=old-dominion&id=92867
Conference USA,Rice,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_RIC.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=rice&id=91740
Conference USA,Southern Miss,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_SM.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=southern-miss&id=91878
Conference USA,UTEP,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_UTEP.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=utep&id=92338
Conference USA,UTSA,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_UTSA.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=utsa&id=92683
Conference USA,Western Kentucky,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_WKU.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=wku&id=92775
