Play#,Off,Def,Q,Dwn,Y2G,Half,Yd Ln,Res
99,BAMA,OSU,3,1,10,Own,33, 
 , , , , , , , , 
 , , , , , , , ,
100,BAMA,OSU,3,2,6,Own,37, 
 , , , , , , , , 
101,BAMA,OSU,3,3,7,Own,36, 
102,BAMA,OSU,3,1,10,Own,16, 
 , , , , , , , , 
103,BAMA,OSU,3,2,10,Own,16,First
104,BAMA,OSU,3,1,10,Own,31,First
 , , , , , , , , 
 , , , , , , , , 
105,BAMA,OSU,3,1,10,Opp,17, 
 , , , , , , , , 
106,BAMA,OSU,3,2,3,Opp,10,First
107,BAMA,OSU,3,1,G,Opp,5, 
 , , , , , , , , 
108,BAMA,OSU,3,2,G,Opp,5,TD
150, , ,,,,,, 
