83	mclaurin terry	McLaurin, Terry	WR	73	6-1	200	3	SO	Indianapolis (Cathedral)
5	mcmillan raekwon	McMillan, Raekwon	LB	74	6-2	240	3	SO	Hinesville, Ga. (Liberty County)
5	miller braxton	Miller, Braxton	QB	74	6-2	215	7	SR	Huber Heights, Ohio (Wayne)
18	mitchell kato	Mitchell, Kato	WR	72	6-0	190	7	SR	Cleveland, Ohio (John Hay)
44	morgan luke	Morgan, Luke	QB	74	6-2	235	5	JR	Lebanon, Ohio (Lebanon)
62	morris r.j.	Morris, R.J.	OL	74	6-2	305	3	SO	Naperville, Ill. (Naperville)
52	munger donovan	Munger, Donovan	DL	76	6-4	300	3	SO	Shaker Heights, Ohio (Shaker Heights)
96	nuernberger sean	Nuernberger, Sean	K	73	6-1	220	3	SO	Buckner, Ky. (Oldham Co.)
91	parry aaron	Parry, Aaron	DL	77	6-5	275	5	JR	Zanesville, Ohio (Bishop Rosecrans)
37	perry joshua	Perry, Joshua	LB	76	6-4	254	7	SR	Galena, Ohio (Olentangy)
23	powell tyvis	Powell, Tyvis	SAF	75	6-3	210	5	JR	Bedford, Ohio (Bedford)
54	price billy	Price, Billy	OL	76	6-4	315	3	SO	Austintown, Ohio (Fitch)
19	ramstetter joe	Ramstetter, Joe	WR	75	6-3	225	5	JR	Cincinnati, Ohio (Elder)
4	samuel curtis	Samuel, Curtis	RB	71	5-11	200	3	SO	Brooklyn, N.Y. (Erasmus Hall)
67	schmidt grant	Schmidt, Grant	OL	78	6-6	300	1	FR	Sioux Falls, S.D. (Roosevelt)
90	schutt tommy	Schutt, Tommy	DL	75	6-3	290	7	SR	Glen Ellyn, Ill. (Glenbard West)
42	slade darius	Slade, Darius	DL	76	6-4	255	1	FR	Montclair, N.J. (Montclair)
84	smith corey	Smith, Corey	WR	73	6-1	195	7	SR	Akron, Ohio (Akron Buchtel)
1	smith erick	Smith, Erick	SAF	72	6-0	202	3	SO	Cleveland, Ohio (Glenville)
93	sprinkle tracy	Sprinkle, Tracy	DL	75	6-3	290	3	SO	Elyria, Ohio (Elyria)
79	taylor brady	Taylor, Brady	OL	77	6-5	300	1	FR	Columbus, Ohio (Bishop Ready)
15	tensing nick	Tensing, Nick	QB	77	6-5	215	3	SO	Cincinnati (St. Xavier)
3	thomas michael	Thomas, Michael	WR	75	6-3	210	5	JR	Los Angeles, Calif. (Woodland Hills Taft)
94	thompson dylan	Thompson, Dylan	DL	77	6-5	275	1	FR	Lombard, Ill. (Montini Catholic)
71	trout kyle	Trout, Kyle	OL	78	6-6	310	1	FR	Lancaster, Ohio (Lancaster)
36	turnure zach	Turnure, Zach	LB	73	6-1	235	5	JR	St. Louis, Mo. (CBC)
81	vannett nick	Vannett, Nick	TE	78	6-6	260	7	SR	Westerville, Ohio (Central)
92	washington adolphus	Washington, Adolphus	DL	76	6-4	290	7	SR	Cincinnati, Ohio (Taft)
7	webb damon	Webb, Damon	CB	71	5-11	193	3	SO	Detroit, Mich (Cass Tech)
55	williams camren	Williams, Camren	LB	73	6-1	225	7	SR	West Roxbury, Mass. (Catholic Memorial)
2	wilson dontre	Wilson, Dontre	H-B	70	5-10	195	5	JR	DeSoto, Texas (DeSoto)
35	worley chris	Worley, Chris	LB	74	6-2	225	3	SO	Cleveland, Ohio (Glenville)
