Game Data,,,,,,,,,Quarterback,,,,,,,,,,,,,,,,,,,,,Running Back,,,,,,,,,,,Receiver,,,,,,,,,,,,,,Offensive Line,,,,,,Off-Penalty,,,,,Defense,,,,,,,,,,,Coverage,,,,,,,,Def-Penalty,,,,
Play#,Off,Def,Q,Dwn,Y2G,Half,Yd Ln,Res,QB,SG/UC,Att,Comp,Dir,AirYds,Tyds,Press,Pock,Scram?,Acc,Int,TD,DPInt,TA,BP,Fum,Sk,Ht,Hur,Note,RB,Att,Yds,YAC,1D,TD,MT,Stuff,Fum,FumL,Note,WR,Tgt,Rec,Cont,AirYds,Tyds,YAC,MT,Drop,EZ,1D,TD,Fum,Note,OL1,Pos,Hur,Hit,Sk,Note,Player,Type,Yds,Acc/Dec,Note,Defender,Tackle,MT,Stuff,Sack,Hit,Hur,FF,FumR,BP,D-TD,Tgt,Comp,Cont,PD,TD,Int,PI,Note,Player,Type,Yds,Acc/Dec,Note
14,BAMA,OSU,1,2,4,Own,18, ,, ,,, ,,,,,,,,,,,,,,,,,Derrick Henry 27,1,-1,0,,,,1,,,Fell down, ,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
15,BAMA,OSU,1,3,5,Own,17, ,Blake Sims 6,SG,1,0,Mid,8,,1,1,,Ov,,,,,,,,1,,, ,,,,,,,,,,,Amari Cooper 9,1,0,0,8,,,,,,,,,,T.J. Yeldon 4,RB,,1,,,,,,,,Eli Apple 13,,,,,,,,,,,1,0,0,,,,,,,,,,
,,,,,,,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Darron Lee 43,,,,,1,,,,,,,,,,,,,,,,,,
16,OSU,BAMA,1,1,10,Own,20, ,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,11,11,1,,2,,1,1,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Reggie Ragland 19,,1,,,,,,,,,,,,,,,,,,,,,
, , ,,, , ,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Trey DePriest 33,,1,,,,,,,,,,,,,,,,,,,,,
, , ,,, , ,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Eddie Jackson 4,,,,,,,1,,,,,,,,,,,,,,,,
, , ,,, , ,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Landon Collins 26,,,,,,,,1,,,,,,,,,,,,,,,
17,BAMA,OSU,1,1,10,Opp,33, ,, ,,, ,,,,,,,,,,,,,,,,,Blake Sims 6,1,8,2,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Adolphus Washington 92,1,,,,,,,,,,,,,,,,,,,,,,
18,BAMA,OSU,1,2,2,Opp,25,TD,, ,,, ,,,,,,,,,,,,,,,,,Derrick Henry 27,1,25,0,,1,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
19,OSU,BAMA,1,1,10,Own,25,First,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,11,4,1,,1,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Landon Collins 26,1,1,,,,,,,,,,,,,,,,MT and T,,,,,
20,OSU,BAMA,1,1,10,Own,36, ,Cardale Jones 12,SG,1,0, ,,,1,0,,,,,,1,,,,,1,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Billy Price 54,LG,1,,,,,,,,,Dalvin Tomlinson 54,,,,,,1,,,,,,,,,,,,,,,,,
, , ,,,, ,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Pat Elflein 65,RG,1,,,,,,,,,Jarran Reed 90,,,,,,1,,,,,,,,,,,,,,,,,
