Game Data,,,,,,,,,Quarterback,,,,,,,,,,,,,,,,,,,,,Running Back,,,,,,,,,,,Receiver,,,,,,,,,,,,,,Offensive Line,,,,,,Off-Penalty,,,,,Defense,,,,,,,,,,,Coverage,,,,,,,,Def-Penalty,,,,
Play#,Off,Def,Q,Dwn,Y2G,Half,Yd Ln,Res,QB,SG/UC,Att,Comp,Dir,AirYds,Tyds,Press,Pock,Scram?,Acc,Int,TD,DPInt,TA,BP,Fum,Sk,Ht,Hur,Note,RB,Att,Yds,YAC,1D,TD,MT,Stuff,Fum,FumL,Note,WR,Tgt,Rec,Cont,AirYds,Tyds,YAC,MT,Drop,EZ,1D,TD,Fum,Note,OL1,Pos,Hur,Hit,Sk,Note,Player,Type,Yds,Acc/Dec,Note,Defender,Tackle,MT,Stuff,Sack,Hit,Hur,FF,FumR,BP,D-TD,Tgt,Comp,Cont,PD,TD,Int,PI,Note,Player,Type,Yds,Acc/Dec,Note
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Joey Bosa 97,,,,,,1,,,,,,,,,,,,,,,,,
52,BAMA,OSU,2,3,1,Opp,6, ,, ,,, ,,,,,,,,,,,,,,,,,T.J. Yeldon 4,1,0,0,,,1,1,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Darron Lee 43,,1,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Joshua Perry 37,1,,1,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Curtis Grant 14,1,,1,,,,,,,,,,,,,,,,,,,,
53,BAMA,OSU,2,4,1,Opp,6,First,, ,,, ,,,,,,,,,,,,,,,,,T.J. Yeldon 4,1,4,1,1,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Joey Bosa 97,1,,,,,,,,,,,,,,,,,,,,,,
54,BAMA,OSU,2,1,G,Opp,2, ,, ,,, ,,,,,,,,,,,,,,,,,T.J. Yeldon 4,1,2,0,,1,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
55,OSU,BAMA,2,1,10,Own,29, , , ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,1,1,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Geno Smith 24,1,,,,,,,,,,,,,,,,,,,,,,
56,OSU,BAMA,2,2,9,Own,30, ,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,-1,0,,,,1,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,D.J. Pettway 57,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Reggie Ragland 19,,1,,,,,,,,,,,,,,,,,,,,,
57,OSU,BAMA,2,3,10,Own,29,First,Cardale Jones 12,SG,1,1,Right,18,26,1,1,,,,,,,,,,1,,, ,,,,,,,,,,,Jalin Marshall 17,1,1,0,18,26,8,,,,1,,,,Taylor Decker 68,LT,,1,,,,,,,,Xzavier Dickson 47,,,,,1,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Jacoby Boren 50,C,1,,,,,,,,,Jonathan Allen 93,,,,,,1,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Eddie Jackson 4,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Nick Perry 27,1,,,,,,,,,,,,,,,,,,,,,,
58,OSU,BAMA,2,1,10,Opp,45, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,Ezekiel Elliott,FS,5,Acc,, ,,,,,,,,,,,,,,,,,,,,,,,
59,OSU,BAMA,2,1,15,Own,50, ,Cardale Jones 12,SG,1,1,Right,6,6,1,1,,,,,,,,,,,1,, ,,,,,,,,,,,Michael Thomas 3,1,1,0,6,6,0,,,,,,,, ,,,,,,,,,,,Eddie Jackson 4,,,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Daryl Baldwin 76,RT,1,,,,,,,,,Jarran Reed 90,,,,,,1,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Nick Perry 27,,,,,,,,,,,,,,,,,,,,,,,
60,OSU,BAMA,2,2,9,Opp,44, ,Cardale Jones 12,SG,1,0,Right,10,,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Corey Smith 84,1,0,1,10,,,,,,,,,, ,,,,,,,,,,,Eddie Jackson 4,,,,,,,,,,,1,0,1,1,,,,,,,,,
61,OSU,BAMA,2,3,9,Opp,44,First,Cardale Jones 12,SG,1,1,Mid,26,26,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Jalin Marshall 17,1,1,1,26,26,0,,,,1,,,, ,,,,,,,,,,,Geno Smith 24,,,,,,,,,,,1,1,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Jarrick Williams 20,1,,,,,,,,,,1,1,1,,,,,,,,,,
62,OSU,BAMA,2,1,10,Opp,18, ,Cardale Jones 12,SG,1,0,Left,20,,0,0,,Ov,,,,,,,,,,, ,,,,,,,,,,,Jalin Marshall 17,1,0,0,20,,,,,1,,,,, ,,,,,,,,,,,Jarrick Williams 20,,,,,,,,,,,1,0,0,,,,,,,,,,
63,OSU,BAMA,2,2,10,Opp,18,First,Cardale Jones 12,SG,1,1,Left,-1,13,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Ezekiel Elliott 15,1,1,0,-1,13,14,2,,,1,,,, ,,,,,,,,,,,Reggie Ragland 19,,,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Tony DePriest 33,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Geno Smith 24,,1,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Cyrus Jones 5,,1,,,,,,,,,,,,,,,,,,,,,
64,OSU,BAMA,2,1,G,Opp,5, ,, ,,, ,,,,,,,,,,,,,,,,,Cardale Jones 12,1,-1,0,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Ryan Anderson 7,1,,1,,,,,,,,,,,,,,,,,,,,
65,OSU,BAMA,2,2,G,Opp,6,First,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,,Nick Vannett 81,,,,,,,,,,,,,, ,,,,,,,,,,,Eddie Jackson 4,,,,,,,,,,,,,,,,,1,,Eddie Jackson 4,PI,1,Acc,
66,OSU,BAMA,2,1,G,Opp,5, ,, ,,, ,,,,,,,,,,,,,,,,,Jalin Marshall 17,1,-1,0,,,,1,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Tony DePriest 33,1,,1,,,,,,,,,,,,,,,,,,,,
67,OSU,BAMA,2,2,G,Opp,6, ,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,3,0,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Xzavier Dickson 47,1,,,,,,,,,,,,,,,,,,,,,,
68,OSU,BAMA,2,3,G,Opp,3,TD,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,3,0,,1,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
69,BAMA,OSU,2,1,10,Own,10, ,Blake Sims 6,UC,1,1,Left,-1,6,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Amari Cooper 9,1,1,0,-1,6,7,1,,,,,,, ,,,,,,,,,,,Eli Apple 13,,1,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Vonn Bell 11,1,,,,,,,,,,,,,,,,,,,,,,
70,BAMA,OSU,2,2,4,Own,16, ,Blake Sims 6,SG,1,1,Right,-1,2,0,1,,,,,,,,,,,,, ,,,,,,,,,,,DeAndrew White 2,1,1,0,-1,2,3,,,,,,,, ,,,,,,,,,,,Darron Lee 43,1,,,,,,,,,,1,1,0,,,,,,,,,,
71,BAMA,OSU,2,3,2,Own,18, ,Blake Sims 6,SG,1,0,Right,10,,1,0,,,,,,,,,,,,, ,,,,,,,,,,,DeAndrew White 2,1,0,0,10,,,,1,,,,,, ,,,,,,,,,,,Doran Grant 12,,,,,,,,,,,1,0,0,,,,,,,,,,
, , ,,, , ,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Michael Bennett 53,,,,,,1,,,,,,,,,,,,,,,,,
72,OSU,BAMA,2,1,10,Own,23,First,Cardale Jones 12,SG,1,1,Left,8,14,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Michael Thomas 3,1,1,0,8,14,6,1,,,1,,,, ,,,,,,,,,,,Cyrus Jones 5,,1,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,A'Shawn Robinson 86,1,,,,,,,,,,,,,,,,,,,,,,
73,OSU,BAMA,2,1,10,Own,37, ,Cardale Jones 12,SG,1,1,Mid,1,5,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Corey Smith 84,1,1,0,1,5,4,,,,,,,, ,,,,,,,,,,,Reggie Ragland 19,,,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Geno Smith 24,1,,,,,,,,,,,,,,,,,,,,,,
74,OSU,BAMA,2,2,5,Own,42,First,Cardale Jones 12,SG,1,1,Mid,13,18,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Nick Vannett 81,1,1,0,13,18,5,,,,1,,,, ,,,,,,,,,,,Landon Collins 26,1,,,,,,,,,,1,1,0,,,,,,,,,,
75,OSU,BAMA,2,1,10,Opp,40,First,Cardale Jones 12,SG,,, ,,,,,1,,,,,,,,,,,,Cardale Jones 12,1,27,30,1,,1,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Ryan Anderson 7,,1,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Nick Perry 27,,1,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Geno Smith 24,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Landon Collins 26,1,,,,,,,,,,,,,,,,,,,,,,
76,OSU,BAMA,2,1,10,Opp,13, ,Cardale Jones 12,SG,1,0, ,,,0,0,,,,,,1,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
77,OSU,BAMA,2,2,10,Opp,13,TD,Evan Spencer 6,SG,1,1,Left,15,13,0,1,,,,1,,,,,,,,, ,,,,,,,,,,,Michael Thomas 3,1,1,1,15,13,0,,,1,,1,,, ,,,,,,,,,,,Cyrus Jones 5,,,,,,,,,,,1,1,1,,1,,,,,,,,
78,OSU,BAMA,3,1,10,Own,25,First,Cardale Jones 12,SG,1,1,Mid,9,11,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Michael Thomas 3,1,1,1,9,11,2,,,,1,,,, ,,,,,,,,,,,Eddie Jackson 4,1,,,,,,,,,,1,1,1,,,,,,,,,,
79,OSU,BAMA,3,1,10,Own,36, ,Cardale Jones 12,SG,1,1,Left,8,8,1,1,,,,,,,,,,,1,, ,,,,,,,,,,,Michael Thomas 3,1,1,0,8,8,0,,,,,,,,Taylor Decker 68,LT,1,,,,,,,,,Cyrus Jones 5,1,,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Xzavier Dickson 47,,,,,,1,,,,,,,,,,,,,,,,,
80,OSU,BAMA,3,2,2,Own,44,First,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,7,4,1,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Geno Smith 24,1,,,,,,,,,,,,,,,,,,,,,,
81,OSU,BAMA,3,1,10,Opp,49, ,Cardale Jones 12,SG,1,0,Left,37,,0,0,,,,,,,,,,,,, ,,,,,,,,,,,Corey Smith 84,1,0,0,37,,,,1,,,,,, ,,,,,,,,,,,Cyrus Jones 5,,,,,,,,,,,1,0,0,,,,,,,,,,
82,OSU,BAMA,3,2,10,Opp,49, ,, ,,, ,,,,,,,,,,,,,,,,,Jalin Marshall 17,1,2,0,,,,,,,Tap pass, ,,,,,,,,,,,,,, ,,,,,,,,,,,Reggie Ragland 19,1,,,,,,,,,,,,,,,,,,,,,,
83,OSU,BAMA,3,3,8,Opp,47,TD,Cardale Jones 12,SG,1,1,Right,45,49,1,1,,,,1,,,,,,1,1,, ,,,,,,,,,,,Devin Smith 9,1,1,0,45,49,4,,,,,1,,, ,,,,,,,,,,,Eddie Jackson 4,,,,,,,,,,,1,1,0,,1,,,Fell down,,,,,
, , ,,, , ,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Jacoby Boren 50,C,1,,,,,,,,,Ryan Anderson 7,,,,,,1,,,,,,,,,,,,,,,,,
, , ,,, , ,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Nick Vannett 81,TE,,1,,,,,,,,Xzavier Dickson 47,,,,,1,,,,,,,,,,,,,,Xzavier Dickson 47,Facemask,15,Acc,Enforced On kickoff
84,BAMA,OSU,3,1,10,Own,19,First,Blake Sims 6,UC,,, ,,,1,,1,,,,,,,,,,1,,Blake Sims 6,1,18,5,1,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Doran Grant 12,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Adolphus Washington 92,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Leon Brown 72,RG,1,,,,,,,,,Michael Bennett 53,,,,,,1,,,,,,,,,,,,,,,,,
85,BAMA,OSU,3,1,10,Own,37, ,, ,,, ,,,,,,,,,,,,,,,,,T.J. Yeldon 4,1,8,0,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Joshua Perry 37,1,,,,,,,,,,,,,,,,,,,,,,
86,BAMA,OSU,3,2,2,Own,45, ,Blake Sims 6,SG,,, ,,,1,,,,,,,,,,1,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Austin Shepherd 79,RT,,,1,,,,,,,Darron Lee 43,,,,1,,,,,,,,,,,,,,,,,,,
87,BAMA,OSU,3,3,8,Own,39, ,Blake Sims 6,SG,,, ,,,1,,,,,,,,,,1,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Leon Brown 72,RG,,,1,,,,,,,Michael Bennett 53,,,,1,,,,,,,,,,,,,,,,,,,
88,OSU,BAMA,3,1,10,Own,5, ,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,4,2,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Denzel Devall 30,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Jarran Reed 90,1,,,,,,,,,,,,,,,,,,,,,,
89,OSU,BAMA,3,2,6,Own,9,First,, ,,, ,,,,,,,,,,,,,,,,,Cardale Jones 12,1,6,1,1,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,, ,Jarran Reed 90,1,,,,,,,,,,,,,,,,,,,,,,
90,OSU,BAMA,3,1,10,Own,15, ,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,7,2,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Reggie Ragland 19,1,,,,,,,,,,,,,,,,,,,,,,
  , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Geno Smith 24,1,,,,,,,,,,,,,,,,,,,,,,
91,OSU,BAMA,3,2,3,Own,22, ,Cardale Jones 12,SG,1,0,Left,-2,,0,1,,,,,1,,,,,,,, ,,,,,,,,,,,Michael Thomas 3,1,0,1,-2,,,,,,,,,, ,,,,,,,,,,,Cyrus Jones 5,,,,,,,,,,,1,0,1,1,,,,,,,,,
92,OSU,BAMA,3,3,3,Own,22,First,, ,,, ,,,,,,,,,,,,,,,,,Cardale Jones 12,1,12,10,1,,1,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Dalvin Tomlinson 54,,1,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Nick Perry 27,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Landon Collins 26,1,,,,,,,,,,,,,,,,,,,,,,
93,OSU,BAMA,3,1,10,Own,34, ,Cardale Jones 12,SG,1,1,Right,7,7,1,1,,,,,,,,,,1,1,, ,,,,,,,,,,,Evan Spencer 6,1,1,0,7,7,0,,,,,,,, ,,,,,,,,,,,Eddie Jackson 4,1,,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Billy Price 54,LG,,1,,,,,,,,A'Shawn Robinson 86,,,,,1,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Daryl Baldwin 76,RT,1,,,,,,,,,Jarran Reed 90,,,,,,1,,,,,,,,,,,,,,,,,
94,OSU,BAMA,3,2,3,Own,41, , , ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,2,0,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,A'Shawn Robinson 86,,,,,,,,,,,,,,,,,,,,,,,
95,OSU,BAMA,3,3,1,Own,43, ,, ,,, ,,,,,,,,,,,,,,,,,Noah Brown 80,1,-4,,,,,1,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Reggie Ragland 19,1,,1,,,,,,,,,,,,,,,,,,,,
, , ,,, , ,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Xzavier Dickson 47,1,,1,,,,,,,,,,,,,,,,,,,,
96,BAMA,OSU,3,1,10,Own,1, ,, ,,, ,,,,,,,,,,,,,,,,,T.J. Yeldon 4,1,1,0,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Darron Lee 43,1,,,,,,,,,,,,,,,,,,,,,,
97,BAMA,OSU,3,2,9,Own,2,First, , ,,, ,,,,,,,,,,,,,,,,,T.J. Yeldon 4,1,10,2,1,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Darron Lee 43,1,,,,,,,,,,,,,,,,,,,,,,
98,BAMA,OSU,3,1,10,Own,12,First,, ,,, ,,,,,,,,,,,,,,,,,Derrick Henry 27,1,21,0,1,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Vonn Bell 11,1,,,,,,,,,,,,,,,,,,,,,,
99,BAMA,OSU,3,1,10,Own,33, ,Blake Sims 6,UC,1,1,Left,0,4,1,1,,,,,,,,,,,,, ,,,,,,,,,,,Jalston Fowler 45,1,1,0,0,4,4,,,,,,,, ,,,,,,,,,,,Joshua Perry 37,,,,,,1,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Tyvis Powell 23,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Curtis Grant 14,1,,,,,,,,,,,,,,,,,,,,,,
100,BAMA,OSU,3,2,6,Own,37, ,,,,,,,,,,,,,,,,,,,,,,Derrick Henry 27,1,-1,0,,,,1,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Adolphus Washington 92,1,,1,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Michael Bennett 53,1,,1,,,,,,,,,,,,,,,,,,,,
101,BAMA,OSU,3,3,7,Own,36, ,Blake Sims 6,SG,1,0,Left,7,,0,1,,,1,,,,,,,,,, ,,,,,,,,,,,Amari Cooper 9,1,0,1,7,,,,,,,,,, ,,,,,,,,,,,Steve Miller 88,,,,,,,,,,,1,0,1,,1,1,,,,,,,
102,BAMA,OSU,3,1,10,Own,16, ,Blake Sims 6,SG,1,0,Right,10,,1,1,,Ov,,,,,,,,,1,, ,,,,,,,,,,,Amari Cooper 9,1,0,0,10,,,,,,,,,, ,,,,,,,,,,,Doran Grant 12,,,,,,,,,,,1,0,0,,,,,,,,,,
 , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Arie Kouandjio 77,LG,1,,,,,,,,,Adolphus Washington 92,,,,,,1,,,,,,,,,,,,,,,,,
103,BAMA,OSU,3,2,10,Own,16,First,Blake Sims 6,UC,1,1,Left,13,15,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Amari Cooper 9,1,1,0,13,15,2,,,,1,,,, ,,,,,,,,,,,Eli Apple 13,1,,,,,,,,,,1,1,0,,,,,,,,,,
104,BAMA,OSU,3,1,10,Own,31,First,Blake Sims 6,SG,1,1,Mid,-1,52,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Derrick Henry 27,1,1,0,-1,52,53,2,,,1,,,, ,,,,,,,,,,,Raekwon McMillan 2,,1,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Eli Apple 13,,1,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Vonn Bell 11,1,,,,,,,,,,,,,,,,,,,,,,
105,BAMA,OSU,3,1,10,Opp,17, ,,,,,,,,,,,,,,,,,,,,,,T.J. Yeldon 4,1,7,0,,,1,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Michael Bennett 53,,1,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Doran Grant 12,1,,,,,,,,,,,,,,,,,,,,,,
106,BAMA,OSU,3,2,3,Opp,10,First,,,,,,,,,,,,,,,,,,,,,,T.J. Yeldon 4,1,5,0,1,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Joshua Perry 37,1,,,,,,,,,,,,,,,,,,,,,,
107,BAMA,OSU,3,1,G,Opp,5, ,Blake Sims 6,SG,1,0,Right,1,,1,1,,Ov,,,,,,,,,,, ,,,,,,,,,,,Brian Vogler 84,1,0,0,1,,,,,,,,,, ,,,,,,,,,,,Tyvis Powell 23, ,,,,,,,,,,1,0,0,,,,,,,,,,
 , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Joshua Perry 37,,,,,,1,,,,,,,,,,,,,,,,,
108,BAMA,OSU,3,2,G,Opp,5,TD,,,,,,,,,,,,,,,,,,,,,,Blake Sims 6,1,5,2,,1,1,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Adolphus Washington 92,,1,,,,,,,,,,,,,,,,,,,,,
150, , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
